Company Name,Industry,Symbol,Series,ISIN Code,token
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,13061.0
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,13.0
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,25780.0
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,21238.0
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,10217.0
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,25.0
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,3563.0
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,15083.0
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,21614.0
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,11703.0
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,1185.0
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,1270.0
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013,324.0
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,157.0
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,163.0
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025,5435.0
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,212.0
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,236.0
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,14418.0
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,275.0
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,19913.0
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,5900.0
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,19585.0
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,16669.0
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,317.0
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,16675.0
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,305.0
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014,2263.0
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,4668.0
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,4745.0
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026,2144.0
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,383.0
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025,422.0
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,438.0
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,526.0
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,10604.0
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,11373.0
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039,8311.0
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,2181.0
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,547.0
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,760.0
Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,INE278Y01022,9362.0
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,10794.0
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011,21174.0
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,685.0
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,694.0
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,20374.0
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025,11543.0
Cohance Lifesciences Ltd.,Healthcare,COHANCE,EQ,INE03QK01018,17945.0
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,15141.0
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01020,342.0
Concord Biotech Ltd.,Healthcare,CONCORDBIO,EQ,INE338H01029,18060.0
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025,4749.0
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031,739.0
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,EQ,INE00LO01017,2854.0
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010,4421.0
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018,17094.0
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,1901.0
DLF Ltd.,Realty,DLF,EQ,INE271C01023,14732.0
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,772.0
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025,8075.0
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028,9599.0
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,10940.0
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,21690.0
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,881.0
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023,919.0
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,910.0
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015,5097.0
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,676.0
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029,6545.0
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029,1023.0
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013,14592.0
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,4717.0
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039,13528.0
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014,277.0
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035,7406.0
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,10099.0
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027,17875.0
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,1232.0
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,7229.0
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025,4244.0
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,1333.0
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,467.0
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,9819.0
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,1348.0
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,1363.0
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,2303.0
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026,17939.0
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,1406.0
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,1394.0
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,1424.0
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011,18457.0
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017,20825.0
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,4963.0
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,21770.0
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,18652.0
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,11184.0
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,1660.0
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011,14309.0
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020,220.0
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,1512.0
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,1624.0
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014,9348.0
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,13611.0
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010,2029.0
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016,20261.0
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017,29135.0
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,5258.0
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032,13751.0
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,1594.0
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011,7852.0
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017,5926.0
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,11195.0
International Gemmological Institute (India) Ltd.,Services,IGIL,EQ,INE0Q9301021,28378.0
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018,17869.0
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,11723.0
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,6733.0
